title,year,summary,genre,runtime,certificate,directors,actors,rating,votes,gross
Kisses,2008,"Two kids, Dylan and Kylie, run away from home at Christmas and spend a night of magic and terror on the streets of inner-city Dublin.",Drama,72,Not Rated,Lance Daly,"Kelly O'Neill, Shane Curry, Paul Roe, Roy Dempsey",7.3,1866,0.08
Secret Santa: A Christmas Adventure,2021,"Ted and Andre are two friends who are down on their luck and have no plans for Christmas. Late one December night, they are visited by a strange guest with an unusual request for help.",Comedy,null,null,Nigel Butler,"Nigel Butler, Joe Monroe, Eric Rogers, Zac Spencer",9.0,7,null
Where God Left His Shoes,2007,A failed boxer (Leguizamo) struggles to find a job and an apartment for his family on Christmas Eve.,Drama,96,Not Rated,Salvatore Stabile,"John Leguizamo, Leonor Varela, David Castro, Samantha M. Rose",7.2,1070,0.00
Project: Puppies for Christmas,2019,Two young girls attempt to bring Christmas joy to a cranky old man so Santa will bring them puppies for their good deed.,Family,93,null,Dan Hewitt Owens,"John Ratzenberger, David Goryl, Morgan Bastin, Piper Sher",7.8,42,null
Christmas Tears,2014,Story of 3 best friends hitting rock bottom on Christmas Eve. The toll it takes on their family and the chooses they make leads them on a magical day that they will never forget. A film of ... See full summary »,"Drama, Family, Fantasy",77,null,"William Mercado, Fabian Perez","Jonni Albetta, Anayka, Julie Bender-Day, Louisa Bikowski",7.7,9,null
Christmas in July,2019,"Daniel is a once-famous musician running away from his talent. One of the few friends he has left is his grandmother, and their special bond was always the Christmas season they both loved ... See full summary »",Family,99,null,Myles Matsuno,"Reiley McClendon, Grayson Russell, Erin Ownbey, Lacy Hartselle",8.9,32,null
The Rocking Horse Winner,1949,A young boy receives a rocking horse for Christmas and soon learns that he is able to pick the winning horse at the races.,"Drama, Fantasy",91,Not Rated,Anthony Pelissier,"Valerie Hobson, John Howard Davies, Ronald Squire, John Mills",7.3,1136,null
Everyday But Christmas,2019,"A Christmas-hating author is taken by fate on a ride outside of his comfort zone and back to a place where he will face his fears, find his fate, and ultimately discover the true meaning of Christmas.",Comedy,90,null,Lisa France,"Timon Kyle Durrett, Antonique Smith, Carl Anthony Payne II, Marquita Goings",7.4,16,null
36 Chowringhee Lane,1981,"After the marriage of her niece, Rosemary, Anglo-Indian school-teacher Violet Stoneham lives a lonely life in her single room flat located at 36 Chowringhee Lane in Calcutta, with only a ... See full summary »","Drama, Romance",122,A,Aparna Sen,"Jennifer Kendal, Dhritiman Chatterjee, Debashree Roy, Geoffrey Kendal",7.5,408,null
Boxing Day,2007,The story of a father's desperate struggle to reunite his estranged family over the course of a single afternoon.,"Crime, Drama",81,null,Kriv Stenders,"Richard Green, Tammy Anderson, Syd Brisbane, Stuart Clark",7.0,152,null
Dreaming of a Jewish Christmas,2017,The amazing story of a group of Jewish songwriters who wrote the soundtrack to Christmas.,"Drama, History, Music",51,null,Larry Weinstein,"Larry Weinstein, Ben Sidran, Jennifer 8. Lee, Ophira Eisenberg",7.3,72,null
9 Mornings,2002,"More than a decade since his girlfriend died in a startling accident, Gene Ynfante (Piolo Pascual) still clearly remembers that fateful day and is haunted by it. Flashforward to the present... See full summary »",Romance,100,null,Jose Javier Reyes,"Piolo Pascual, Donita Rose, Dominic Ochoa, Sandy Andolong",7.6,48,null
Community Theater Christmas,2019,"A community theater competes for a state grant that is needed to keep the doors of the theater open. Meanwhile, they race to get their first, original Christmas play up and running while everything falls apart.",Comedy,103,TV-14,Melissa Vitello,"IsaBeall Quella, Veronica Wylie, Marissa Pistone, Adrienne Rose White",7.8,47,null
Faith Filled Christmas,2017,"Three generations of the Fairway family ensure the Christmas season has the opportunity to be about Christ through their involvement in foster care, adoption, retirement community, and homeless ministry.",Drama,95,null,Don McChesney,"Anna Alayo, Paul Applegate, Merlyn Asencio, Chris Baselice",7.1,23,null
Subterrain,2001,"Christmas Eve 2001: Seamus - A lonely Poster Paster is taken on a nocturnal journey by the spirit of a deceased Train Driver. Having resigned himself to a life of drudgery & routine, his ... See full summary »","Drama, Musical",47,null,Rupert Wyatt,"Jamie Harris, John Challis, Michelle Gomez, James Lance",7.2,38,null
Dollywood's a Christmas Carol,2013,"This is a live musical staged presentation of Dickens' classic tale. All of the ghosts appear on stage as holograms, Dolly Parton as the Ghost of Christmas Past, and, of course, doing a musical number.",Musical,45,null,Curt Wollan,"Nathan Forshey, Dolly Parton, Ryan Roets",7.4,29,null
Oh Deer: It's Christmas,2018,"Larry the Reindeer thinks he can fill Santa's shoes, but he's about to get more than he bargained for. When Mighty Bunion, the wicked wizard, casts a spell causing Larry to switch places ... See full summary »","Animation, Family",75,null,James Snider,"Thomas Freeley, Maria Petrano, Chen Tsung, Jacob Whiteshed",8.0,102,null
Upon a Midnight Clear,2010,"After being bullied by her classmates at a prestigious private school, Frost, an outcast young orphan girl, is text messaged by God on Christmas Eve and given 3 chances to change her life.","Animation, Drama, Family",98,null,Arik Renee Avila,"Leah Gaston, Charles Duran, Silver Renee, Dimitrius Pulido",7.1,30,null
Detached,2009,"Detached is a contemporary Scrooge tale set in the Hollywood Hills that follows Chadh Campbell, an unscrupulous mortgage broker, as he receives a stream of anonymous holiday greetings ... See full summary »","Crime, Mystery, Thriller",86,Not Rated,"Chris Bessounian, Tianna Majumdar-Langham","Sascha Rosemann, Kris Lezetc, Mieke Buchan, Ryan McGee",7.8,40,null
Dreaming on Christmas,2005,"Two strangers, a businessman named Mitch and an exotic dancer named Rana, decide to spend Christmas night together.","Comedy, Romance",100,null,Spencer Jay Kim,"Liz DuChez, Spencer Jay Kim, Danny Trejo, Nick Mancuso",8.4,45,null
Nothing for Christmas,2011,"The Perry family struggles to keep afloat as bills pile up and they face eviction. The troubled Betsy Perry dreams of being saved like George Bailey in It's A Wonderful Life, but fears ... See full summary »","Drama, Family",94,Unrated,Sean Guess,"Sandy Addona, Andy Cleary, Bob Cleary, Erin Deighan",7.7,29,null
All Is Calm,2020,"When Dennis's family can't be together for Christmas, he finds a new way to share the real story of the season and bring peace and calm in the midst of his family's chaotic world. Over 300 ... See full summary »",Musical,81,null,Peter Scheibner,"Arne Newman, Samantha Starks, Ryan Miller, Laura Cantrell",8.3,6,null
Christmas,2003,"The drama of relationships in a dysfunctional New Zealand family, living in a town going nowhere.","Drama, Comedy",89,null,Gregory King,"Darien Takle, David Hornblow, Helen Pearse Otene, Matthew Sunderland",7.2,97,null
The Magic of Christmas II,2010,Ambra looks back at her childhood Christmas memories of living in an orphanage. She re-tells the story to a group of children gathered at her home during the Christmas season. As we travel ... See full summary »,Family,74,null,Mamie Jean Calvert,"Tamara Chandler, Jason Scott Feilzer, Teri Flores, Linda Arslanian",7.6,11,null
The X Mas Files,2016,"Ever wondered how Santa flies his sleigh? Two words: Alien technology. Just as young Neil has all but lost hope in his existence, he finds himself joining Santa on a wild race against time ... See full summary »","Animation, Comedy, Sci-Fi",86,null,Liam Holland,"C. Martin Croker, Jacob Dudman, Daniel Ferri, Maria Hansford",7.3,12,null
The Bestest Christmas Ever,2013,"It's Christmas Eve and the three best friends Chris, Dane, and Kevin have decided to host their very own Christmas Special with hopes of meeting the one and only Santa Claus himself. The ... See full summary »",Comedy,76,null,Topher Hansson,"Dane C. Volke, Kevin McKeon, Topher Hansson, Paul Martin Holdsworth",8.2,7,null
How to Eat Eggnog,2011,4 young video makers go through a grand theft dairy in December to make their Christmas more special.,"Adventure, Comedy",59,null,Dulvlu Spa,"Dulvlu Spa, Matthew Subido, A. Marshall Webber, Andrew McDonald",7.0,8,null
